epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_s
0,0.0803,0.3186,0.0782,0.3550,170.4
1,0.0669,0.4782,0.0667,0.4750,106.6
2,0.0587,0.5639,0.0592,0.5700,107.1
3,0.0532,0.6185,0.0568,0.5720,107.4
4,0.0489,0.6614,0.0535,0.6170,107.6
5,0.0452,0.7008,0.0499,0.6530,107.8
6,0.0419,0.7330,0.0498,0.6500,107.7
7,0.0390,0.7656,0.0480,0.6600,107.5
8,0.0362,0.7887,0.0496,0.6480,107.4
9,0.0335,0.8115,0.0468,0.6780,107.4
10,0.0314,0.8315,0.0454,0.6950,107.5
11,0.0286,0.8555,0.0452,0.6940,107.4
12,0.0270,0.8671,0.0485,0.6720,107.5
13,0.0248,0.8897,0.0448,0.7010,107.4
14,0.0229,0.9060,0.0463,0.6950,107.9
15,0.0209,0.9222,0.0462,0.6970,108.1
16,0.0193,0.9332,0.0451,0.6930,107.7
17,0.0181,0.9465,0.0464,0.6970,107.5
18,0.0167,0.9547,0.0450,0.7070,107.6
19,0.0154,0.9612,0.0452,0.7180,107.4
20,0.0142,0.9679,0.0456,0.7050,107.5
21,0.0132,0.9715,0.0453,0.7140,107.6
22,0.0124,0.9771,0.0444,0.7090,107.7
23,0.0115,0.9805,0.0455,0.7160,107.5
24,0.0109,0.9834,0.0446,0.7180,107.5
25,0.0104,0.9850,0.0445,0.7130,107.6
26,0.0096,0.9884,0.0451,0.7100,107.6
27,0.0090,0.9900,0.0440,0.7140,107.7
28,0.0087,0.9908,0.0450,0.7150,107.5
29,0.0081,0.9920,0.0441,0.7250,107.7
30,0.0078,0.9929,0.0449,0.7070,107.4
31,0.0076,0.9944,0.0440,0.7130,107.5
32,0.0070,0.9951,0.0442,0.7170,107.6
33,0.0067,0.9953,0.0445,0.7170,107.5
34,0.0066,0.9958,0.0440,0.7320,107.5
35,0.0063,0.9954,0.0444,0.7280,107.6
36,0.0059,0.9964,0.0451,0.7210,107.6
37,0.0057,0.9964,0.0440,0.7330,107.6
38,0.0055,0.9969,0.0450,0.7140,107.4
39,0.0054,0.9968,0.0451,0.7220,107.4
40,0.0051,0.9974,0.0445,0.7270,107.6
41,0.0049,0.9972,0.0447,0.7340,107.6
42,0.0047,0.9978,0.0446,0.7260,107.4
43,0.0047,0.9977,0.0446,0.7190,107.4
44,0.0045,0.9979,0.0446,0.7220,107.5
45,0.0045,0.9976,0.0445,0.7280,107.4
46,0.0041,0.9979,0.0446,0.7270,107.5
47,0.0041,0.9983,0.0447,0.7320,107.6
48,0.0041,0.9981,0.0446,0.7350,107.5
49,0.0038,0.9983,0.0448,0.7290,107.5
50,0.0038,0.9986,0.0447,0.7230,107.4
51,0.0037,0.9983,0.0446,0.7340,107.6
52,0.0037,0.9983,0.0445,0.7330,107.6
53,0.0036,0.9982,0.0449,0.7360,107.3
54,0.0035,0.9984,0.0448,0.7350,107.7
55,0.0035,0.9983,0.0447,0.7440,107.5
56,0.0035,0.9986,0.0447,0.7380,107.4
57,0.0034,0.9984,0.0450,0.7380,107.6
58,0.0033,0.9984,0.0448,0.7330,107.5
59,0.0033,0.9986,0.0448,0.7340,107.7
60,0.0034,0.9984,0.0449,0.7340,107.5
61,0.0033,0.9986,0.0449,0.7350,107.4
62,0.0033,0.9986,0.0450,0.7340,107.4
63,0.0033,0.9984,0.0449,0.7340,107.6
