epoch,train_loss,train_acc,test_loss,test_acc
0,0.0588,0.4991,0.0477,0.6458
1,0.0401,0.6721,0.0369,0.7257
2,0.0335,0.7406,0.0395,0.7188
3,0.0295,0.7902,0.0348,0.7812
4,0.0252,0.8365,0.0260,0.8438
5,0.0223,0.8750,0.0259,0.8576
6,0.0176,0.9204,0.0231,0.8646
7,0.0154,0.9452,0.0155,0.9444
8,0.0123,0.9649,0.0244,0.8507
9,0.0114,0.9632,0.0179,0.9132
10,0.0090,0.9812,0.0182,0.9062
11,0.0083,0.9854,0.0160,0.9306
12,0.0071,0.9872,0.0139,0.9410
13,0.0066,0.9949,0.0142,0.9236
14,0.0060,0.9940,0.0149,0.9271
15,0.0061,0.9940,0.0143,0.9306
16,0.0054,0.9923,0.0119,0.9618
17,0.0047,0.9966,0.0144,0.9201
18,0.0045,0.9957,0.0152,0.9375
19,0.0043,0.9974,0.0110,0.9444
20,0.0044,0.9949,0.0107,0.9549
21,0.0038,0.9983,0.0111,0.9375
22,0.0036,0.9966,0.0130,0.9271
23,0.0033,0.9974,0.0128,0.9444
24,0.0028,0.9991,0.0102,0.9479
25,0.0024,0.9991,0.0094,0.9549
26,0.0023,0.9983,0.0094,0.9618
27,0.0022,0.9991,0.0114,0.9410
28,0.0021,0.9991,0.0107,0.9549
29,0.0018,1.0000,0.0093,0.9618
30,0.0018,0.9991,0.0103,0.9479
31,0.0019,1.0000,0.0096,0.9618
32,0.0018,1.0000,0.0101,0.9549
33,0.0016,0.9991,0.0111,0.9479
34,0.0015,0.9991,0.0097,0.9583
35,0.0015,0.9991,0.0091,0.9583
36,0.0014,0.9991,0.0095,0.9583
37,0.0014,1.0000,0.0087,0.9479
38,0.0014,1.0000,0.0092,0.9618
39,0.0012,1.0000,0.0097,0.9479
40,0.0012,1.0000,0.0095,0.9653
41,0.0011,0.9991,0.0094,0.9583
42,0.0010,1.0000,0.0093,0.9583
43,0.0010,1.0000,0.0091,0.9549
44,0.0010,1.0000,0.0087,0.9653
45,0.0009,1.0000,0.0095,0.9583
46,0.0009,1.0000,0.0090,0.9653
47,0.0009,1.0000,0.0090,0.9549
48,0.0009,1.0000,0.0086,0.9618
49,0.0008,1.0000,0.0091,0.9583
50,0.0009,1.0000,0.0090,0.9549
51,0.0008,1.0000,0.0089,0.9653
52,0.0008,1.0000,0.0088,0.9618
53,0.0007,1.0000,0.0088,0.9618
54,0.0007,1.0000,0.0089,0.9653
55,0.0007,1.0000,0.0088,0.9618
56,0.0007,1.0000,0.0088,0.9653
57,0.0007,1.0000,0.0086,0.9653
58,0.0007,1.0000,0.0088,0.9618
59,0.0006,1.0000,0.0087,0.9618
60,0.0007,1.0000,0.0087,0.9618
61,0.0007,1.0000,0.0087,0.9618
62,0.0007,1.0000,0.0087,0.9653
63,0.0007,1.0000,0.0087,0.9653
