epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_s
0,0.0663,0.3998,0.0541,0.5035,60.8
1,0.0458,0.6173,0.0410,0.6736,52.8
2,0.0378,0.6858,0.0577,0.4861,52.7
3,0.0363,0.6961,0.0453,0.6076,52.8
4,0.0333,0.7260,0.0462,0.5938,52.8
5,0.0299,0.7586,0.0312,0.7535,52.8
6,0.0220,0.8450,0.0284,0.7708,66.2
7,0.0193,0.8604,0.0295,0.7639,61.7
8,0.0167,0.8896,0.0281,0.7639,61.3
9,0.0151,0.9187,0.0228,0.8576,61.4
10,0.0154,0.9041,0.0218,0.8403,61.9
11,0.0137,0.9229,0.0208,0.8611,61.4
12,0.0178,0.8810,0.0254,0.8090,61.1
13,0.0167,0.8930,0.0211,0.8438,61.4
14,0.0170,0.8998,0.0184,0.8854,60.9
15,0.0134,0.9289,0.0170,0.8889,61.0
16,0.0136,0.9170,0.0279,0.7847,61.3
17,0.0123,0.9264,0.0153,0.9028,61.4
18,0.0098,0.9538,0.0158,0.8993,61.0
19,0.0098,0.9435,0.0174,0.8854,61.3
20,0.0085,0.9649,0.0209,0.8542,61.5
21,0.0081,0.9615,0.0122,0.9236,61.0
22,0.0069,0.9735,0.0155,0.8854,61.9
23,0.0058,0.9769,0.0145,0.9028,61.8
24,0.0057,0.9795,0.0158,0.8854,60.8
25,0.0054,0.9743,0.0189,0.8785,61.4
26,0.0046,0.9854,0.0143,0.9097,62.1
27,0.0042,0.9872,0.0125,0.9201,62.6
28,0.0044,0.9854,0.0141,0.9167,62.9
29,0.0034,0.9914,0.0112,0.9236,62.5
30,0.0036,0.9897,0.0129,0.9097,60.7
31,0.0032,0.9923,0.0120,0.9236,60.7
32,0.0031,0.9940,0.0151,0.9132,61.1
33,0.0037,0.9872,0.0135,0.9062,61.1
34,0.0022,0.9974,0.0126,0.9201,62.1
35,0.0025,0.9974,0.0114,0.9271,63.2
36,0.0020,0.9991,0.0127,0.9201,63.2
37,0.0023,0.9966,0.0110,0.9236,62.2
38,0.0017,0.9991,0.0122,0.9201,62.5
39,0.0016,0.9991,0.0115,0.9236,63.1
40,0.0017,0.9983,0.0107,0.9306,63.1
41,0.0017,0.9974,0.0123,0.9167,62.9
42,0.0015,0.9983,0.0112,0.9271,61.4
43,0.0015,0.9983,0.0103,0.9271,62.9
44,0.0013,0.9991,0.0116,0.9167,61.8
45,0.0013,0.9983,0.0112,0.9201,60.5
46,0.0014,0.9974,0.0119,0.9236,61.2
47,0.0013,0.9991,0.0113,0.9306,60.4
48,0.0011,0.9991,0.0100,0.9340,60.7
49,0.0011,0.9991,0.0103,0.9306,60.9
50,0.0010,0.9991,0.0105,0.9201,61.3
51,0.0012,0.9991,0.0113,0.9236,60.5
52,0.0009,0.9991,0.0104,0.9340,60.5
53,0.0010,0.9991,0.0108,0.9236,60.9
54,0.0010,0.9991,0.0107,0.9236,60.9
55,0.0009,0.9991,0.0109,0.9201,61.0
56,0.0011,0.9991,0.0103,0.9271,62.1
57,0.0009,0.9991,0.0105,0.9271,60.5
58,0.0009,0.9991,0.0105,0.9201,62.7
59,0.0009,0.9991,0.0106,0.9236,62.9
60,0.0009,0.9991,0.0106,0.9201,62.0
61,0.0008,0.9991,0.0104,0.9201,61.2
62,0.0009,0.9991,0.0105,0.9306,61.4
63,0.0009,0.9991,0.0104,0.9271,62.5
