epoch,train_loss,train_acc,test_loss,test_acc
0,0.0667,0.4015,0.0481,0.6250
1,0.0451,0.6310,0.0377,0.6944
2,0.0388,0.6670,0.0383,0.6840
3,0.0348,0.7175,0.0396,0.6562
4,0.0327,0.7200,0.0364,0.6979
5,0.0280,0.7834,0.0399,0.6701
6,0.0271,0.7911,0.0279,0.7847
7,0.0247,0.8048,0.0287,0.7708
8,0.0231,0.8202,0.0287,0.7535
9,0.0224,0.8330,0.0271,0.8021
10,0.0208,0.8493,0.0321,0.7743
11,0.0187,0.8664,0.0258,0.7917
12,0.0186,0.8724,0.0252,0.8090
13,0.0176,0.8801,0.0230,0.8542
14,0.0157,0.8913,0.0188,0.8924
15,0.0140,0.9135,0.0194,0.8715
16,0.0143,0.9101,0.0204,0.8646
17,0.0115,0.9366,0.0171,0.8924
18,0.0103,0.9495,0.0240,0.8264
19,0.0108,0.9384,0.0203,0.8646
20,0.0091,0.9572,0.0171,0.8854
21,0.0083,0.9606,0.0193,0.8611
22,0.0086,0.9555,0.0148,0.9062
23,0.0066,0.9709,0.0159,0.8958
24,0.0072,0.9658,0.0154,0.8889
25,0.0051,0.9795,0.0154,0.8924
26,0.0050,0.9769,0.0175,0.8819
27,0.0044,0.9837,0.0167,0.8889
28,0.0038,0.9923,0.0156,0.9062
29,0.0038,0.9889,0.0156,0.8854
30,0.0037,0.9872,0.0158,0.8889
31,0.0029,0.9906,0.0156,0.8750
32,0.0029,0.9914,0.0153,0.8854
33,0.0029,0.9923,0.0132,0.8993
34,0.0022,0.9974,0.0133,0.8889
35,0.0024,0.9949,0.0130,0.9132
36,0.0025,0.9949,0.0151,0.8993
37,0.0022,0.9957,0.0118,0.9132
38,0.0017,0.9991,0.0115,0.9132
39,0.0017,0.9966,0.0141,0.8958
40,0.0016,0.9974,0.0115,0.9201
41,0.0015,0.9991,0.0139,0.8889
42,0.0013,0.9991,0.0130,0.9028
43,0.0016,0.9983,0.0127,0.9201
44,0.0014,0.9991,0.0117,0.9201
45,0.0012,0.9991,0.0114,0.9271
46,0.0012,0.9991,0.0124,0.9167
47,0.0012,0.9991,0.0122,0.9271
48,0.0012,0.9983,0.0113,0.9132
49,0.0010,0.9991,0.0118,0.9167
50,0.0009,0.9991,0.0114,0.9236
51,0.0009,0.9991,0.0118,0.9132
52,0.0010,0.9991,0.0117,0.9201
53,0.0009,0.9991,0.0118,0.9201
54,0.0009,0.9991,0.0114,0.9236
55,0.0010,0.9991,0.0118,0.9167
56,0.0010,0.9991,0.0119,0.9167
57,0.0010,0.9991,0.0119,0.9132
58,0.0009,0.9983,0.0116,0.9236
59,0.0009,0.9991,0.0116,0.9201
60,0.0010,1.0000,0.0112,0.9306
61,0.0009,0.9991,0.0116,0.9236
62,0.0010,0.9991,0.0118,0.9201
63,0.0010,0.9991,0.0120,0.9167
