epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_s
0,0.0663,0.4110,0.0492,0.6146,77.1
1,0.0462,0.5985,0.0501,0.5799,52.7
2,0.0399,0.6550,0.0371,0.6840,52.7
3,0.0356,0.7012,0.0367,0.6979,52.7
4,0.0341,0.7140,0.0354,0.6944,52.8
5,0.0300,0.7226,0.0363,0.7361,52.7
6,0.0286,0.7628,0.0353,0.7153,52.8
7,0.0259,0.7860,0.0420,0.6424,52.8
8,0.0245,0.7937,0.0337,0.7153,52.8
9,0.0232,0.7954,0.0314,0.7292,52.8
10,0.0226,0.8211,0.0314,0.7569,52.8
11,0.0215,0.8288,0.0285,0.7986,52.8
12,0.0204,0.8365,0.0294,0.7604,52.7
13,0.0203,0.8322,0.0303,0.7569,52.7
14,0.0200,0.8425,0.0310,0.7778,52.8
15,0.0183,0.8604,0.0368,0.7361,52.7
16,0.0178,0.8861,0.0251,0.8299,52.7
17,0.0169,0.8921,0.0283,0.7812,52.7
18,0.0160,0.9033,0.0222,0.8958,52.8
19,0.0122,0.9409,0.0197,0.8854,52.8
20,0.0106,0.9503,0.0187,0.8819,52.8
21,0.0083,0.9692,0.0158,0.8993,52.9
22,0.0080,0.9606,0.0175,0.8958,52.7
23,0.0065,0.9666,0.0157,0.9062,52.7
24,0.0062,0.9709,0.0145,0.9132,52.8
25,0.0058,0.9803,0.0164,0.9028,52.8
26,0.0052,0.9812,0.0133,0.9236,52.8
27,0.0045,0.9863,0.0200,0.8750,52.8
28,0.0046,0.9854,0.0114,0.9340,52.7
29,0.0037,0.9889,0.0210,0.8542,52.7
30,0.0039,0.9829,0.0125,0.9271,52.7
31,0.0035,0.9889,0.0117,0.9340,52.8
32,0.0030,0.9914,0.0109,0.9375,52.8
33,0.0025,0.9974,0.0111,0.9340,52.8
34,0.0022,0.9974,0.0125,0.9236,52.8
35,0.0023,0.9923,0.0118,0.9236,52.8
36,0.0019,0.9983,0.0110,0.9340,52.8
37,0.0019,0.9966,0.0102,0.9444,52.8
38,0.0021,0.9957,0.0106,0.9340,52.7
39,0.0019,0.9974,0.0104,0.9306,52.8
40,0.0017,0.9991,0.0106,0.9236,52.8
41,0.0014,0.9974,0.0108,0.9410,52.8
42,0.0015,0.9974,0.0103,0.9444,52.8
43,0.0014,0.9983,0.0109,0.9375,52.8
44,0.0016,0.9974,0.0107,0.9340,52.7
45,0.0013,0.9983,0.0104,0.9479,52.7
46,0.0013,0.9991,0.0097,0.9479,52.8
47,0.0014,0.9991,0.0116,0.9271,52.7
48,0.0013,0.9983,0.0100,0.9340,52.7
49,0.0011,0.9991,0.0099,0.9375,52.8
50,0.0010,0.9991,0.0102,0.9444,52.7
51,0.0011,0.9983,0.0102,0.9410,52.7
52,0.0011,0.9983,0.0101,0.9410,52.8
53,0.0012,0.9991,0.0104,0.9410,52.7
54,0.0012,0.9991,0.0103,0.9340,52.8
55,0.0010,0.9991,0.0101,0.9375,53.3
56,0.0010,0.9991,0.0102,0.9410,53.6
57,0.0009,0.9991,0.0099,0.9375,53.5
58,0.0010,0.9983,0.0102,0.9340,52.8
59,0.0011,0.9983,0.0097,0.9410,52.8
60,0.0010,0.9991,0.0098,0.9340,52.8
61,0.0009,0.9991,0.0098,0.9375,52.8
62,0.0008,0.9991,0.0100,0.9410,52.9
63,0.0010,0.9991,0.0097,0.9375,52.7
