epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_s
0,0.0850,0.2063,0.0754,0.3333,60.9
1,0.0705,0.3305,0.0676,0.3229,52.6
2,0.0641,0.3990,0.0636,0.4167,52.6
3,0.0583,0.4991,0.0574,0.4965,52.8
4,0.0534,0.5368,0.0585,0.6181,52.8
5,0.0501,0.5668,0.0537,0.6076,52.8
6,0.0474,0.6293,0.0515,0.5903,52.8
7,0.0437,0.6644,0.0444,0.6319,52.8
8,0.0410,0.7029,0.0442,0.6736,52.7
9,0.0380,0.7320,0.0416,0.6736,52.7
10,0.0354,0.7628,0.0387,0.7049,52.7
11,0.0341,0.7594,0.0382,0.7153,52.7
12,0.0318,0.7808,0.0348,0.7361,52.7
13,0.0310,0.7825,0.0344,0.7222,52.7
14,0.0295,0.7920,0.0326,0.7569,52.6
15,0.0288,0.8005,0.0461,0.6076,52.7
16,0.0276,0.8091,0.0327,0.7847,52.7
17,0.0269,0.8185,0.0337,0.7118,52.6
18,0.0261,0.8236,0.0354,0.7604,52.7
19,0.0251,0.8382,0.0309,0.7674,52.7
20,0.0247,0.8408,0.0304,0.7986,52.7
21,0.0239,0.8433,0.0363,0.7326,52.7
22,0.0234,0.8519,0.0309,0.7708,52.7
23,0.0225,0.8647,0.0306,0.7708,52.7
24,0.0223,0.8716,0.0354,0.7118,52.8
25,0.0228,0.8596,0.0291,0.8125,53.4
26,0.0216,0.8776,0.0296,0.7882,52.8
27,0.0209,0.8818,0.0294,0.7778,52.8
28,0.0205,0.8827,0.0330,0.7743,52.8
29,0.0198,0.8990,0.0305,0.7708,52.7
30,0.0195,0.9092,0.0276,0.7951,52.8
31,0.0186,0.9084,0.0278,0.8090,52.8
32,0.0180,0.9264,0.0301,0.7882,52.8
33,0.0184,0.9101,0.0275,0.8021,52.8
34,0.0178,0.9307,0.0260,0.8403,52.8
35,0.0169,0.9307,0.0276,0.8160,52.8
36,0.0167,0.9461,0.0280,0.8125,52.8
37,0.0164,0.9384,0.0261,0.8333,52.7
38,0.0153,0.9443,0.0272,0.8368,52.8
39,0.0150,0.9529,0.0299,0.7917,52.8
40,0.0148,0.9495,0.0255,0.8403,52.8
41,0.0143,0.9598,0.0257,0.8403,52.8
42,0.0140,0.9658,0.0287,0.8090,52.8
43,0.0140,0.9598,0.0259,0.8299,52.7
44,0.0132,0.9700,0.0288,0.8229,52.8
45,0.0130,0.9726,0.0258,0.8438,53.1
46,0.0130,0.9640,0.0260,0.8299,53.3
47,0.0123,0.9820,0.0273,0.8125,53.4
48,0.0125,0.9760,0.0263,0.8333,53.3
49,0.0120,0.9812,0.0258,0.8368,53.3
50,0.0115,0.9837,0.0245,0.8542,53.5
51,0.0111,0.9854,0.0253,0.8438,53.3
52,0.0111,0.9863,0.0251,0.8472,53.5
53,0.0111,0.9795,0.0252,0.8472,53.3
54,0.0107,0.9914,0.0267,0.8368,53.3
55,0.0108,0.9889,0.0246,0.8438,53.5
56,0.0108,0.9897,0.0250,0.8472,53.2
57,0.0103,0.9854,0.0250,0.8472,52.8
58,0.0104,0.9897,0.0254,0.8438,52.7
59,0.0106,0.9923,0.0247,0.8472,52.8
60,0.0107,0.9889,0.0255,0.8438,52.8
61,0.0106,0.9889,0.0247,0.8507,52.7
62,0.0107,0.9863,0.0246,0.8542,52.8
63,0.0104,0.9906,0.0252,0.8403,52.7
